,Sub_IForest,POLY,MatrixProfile,KShapeAD,SAND,Sub_PCA,CNN,Sub_HBOS,TranAD,OmniAnomaly,USAD,TimesFM,Sub_LOF,SR,Sub_KNN,Sub_OCSVM,KMeansAD_U,AutoEncoder,TimesNet,AnomalyTransformer,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21
003_NAB_id_3_WebService_tr_1362_1st_1462_0,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,0.7005216071312348,0.1670554749777512,0.7026644834961213,4.0,0.005507531981064923,1.0223370611632996,0.26099706744868034,5.0,0.13108419838523644,4.0,0.0577833940868697,3.0,0.16666666666666666,-0.27734375,0.0546875,0.2604140601755647,4.0,0.8626215055473112,0.8333333333333334,0.8333333333333334,1.374446785945625,1.116962211438896
003_NAB_id_3_WebService_tr_1362_1st_1462_1,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,0.6540113005102721,0.15508058509332354,3.105923905778862,4.0,0.03972300511667555,0.6767665066562337,0.2619745845552297,13.0,0.136432350718065,4.0,0.08991515142914505,3.0,0.041666666666666664,0.8583984375,-0.044921875,0.5498368248173425,5.0,0.8802381317639407,0.3958333333333333,0.1875,0.4356505437595508,0.896528132373034
003_NAB_id_3_WebService_tr_1362_1st_1462_2,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,2.4758454929472373,1.139807452908256,0.7526977561384366,2.0,1.537879919917004e-05,4.865322243692954,0.2981427174975562,7.0,0.12333333333333336,8.0,0.01336499970308793,1.0,0.04,-0.0625,0.009765625,0.2809922648224893,3.0,0.9823457260454559,0.125,0.875,1.2762720155209375,1.122274725780035
003_NAB_id_3_WebService_tr_1362_1st_1462_3,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,0.309145389817736,-0.07088447713707385,0.7256404386943536,6.0,0.0089858558108453,0.6907562018966673,0.30791788856304986,6.0,0.18106995884773663,6.0,0.09561556541771508,5.0,0.03571428571428571,0.5546875,-0.0869140625,0.2782374845200797,3.0,0.9924148551139064,0.125,0.875,1.2946797849755665,1.108640632291243
003_NAB_id_3_WebService_tr_1362_1st_1462_4,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,0.23433100577924404,-0.13369805851208405,0.7383888253151364,4.0,0.010400701817845873,0.07484485208643009,0.36656891495601174,6.0,0.0662962962962963,4.0,0.10247972434431737,3.0,0.029411764705882353,-0.001953125,0.0029296875,0.2836045597112171,4.0,1.1189406576717886,0.7083333333333334,0.5208333333333334,1.2517283229147655,1.1115720737263637
003_NAB_id_3_WebService_tr_1362_1st_1462_5,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,0.4969062876017092,0.03207799420571522,0.9900098399462035,2.0,0.018948744466344106,-0.19635050702363477,0.3098729227761486,11.0,0.09448223733938019,4.0,0.10286129287346926,1.0,0.02127659574468085,0.54296875,-0.1083984375,0.43769626288584196,4.0,1.030081911034391,0.125,0.875,0.8406214717613867,1.0036749821232025
003_NAB_id_3_WebService_tr_1362_1st_1462_6,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,1.3302036822928798,0.4983246155679747,0.8976521791212358,2.0,0.010884097591654172,3.7221005057888994,0.3147605083088954,13.0,0.13409279696214546,2.0,0.030572770653177716,1.0,0.05263157894736842,-0.0654296875,0.0390625,0.4519331635698953,5.0,1.0011396125765422,0.625,0.8541666666666666,0.8897088569737305,0.9602776742575069
003_NAB_id_3_WebService_tr_1362_1st_1462_7,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,1.2742062333620403,0.46893499435162234,0.9982276395012755,2.0,0.00824224539169358,2.609624185073047,0.2434017595307918,8.0,0.08333333333333334,2.0,0.03387692803105753,1.0,0.012195121951219513,0.58984375,-0.11328125,0.4097727235415934,3.0,0.8875075828189718,0.2708333333333333,0.22916666666666666,0.9203884727314453,1.0264710146369997
003_NAB_id_3_WebService_tr_1362_1st_1462_8,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,0.5086422165120483,0.05651580183466762,12.078531535707185,20.0,0.08917241997056864,0.17474726080603534,0.38514173998044965,35.0,0.018518518518518517,20.0,0.12655167203088036,19.0,0.012658227848101266,-0.37890625,0.083984375,0.7520008558503486,4.0,1.1619195123108783,0.875,0.8541666666666666,0.10431069357623048,0.680971965182285
003_NAB_id_3_WebService_tr_1362_1st_1462_9,0.1376367225817991,0.2635383259039217,0.0940199931144842,0.0774132696318206,0.0937313025529515,0.1908643651160666,0.122608231935763,0.1411671756770284,0.1169159722232223,0.130472652021299,0.3959671100223529,0.1140388702892156,0.1059226964814171,0.1062523724493495,0.1938577977236641,0.2029671797491592,0.0764237876278091,0.1218224558627055,0.1445640514643589,0.0987044500471572,0.7486833676944356,0.1440684082945121,0.8096481379874998,2.0,0.00492020417010431,1.2945419623214574,0.3509286412512219,8.0,0.10752688172043011,2.0,0.04765924484167439,1.0,0.030303030303030304,0.3046875,-0.01171875,0.32707732365463094,4.0,1.1010752186071042,0.125,0.875,1.1535535524900782,1.0747612630008336
